row_idx,freq,unit,tra_mode,geo,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1,A,PC,IWW,BE,13.5,13.6,13.4,13.5,12.2,14.6,14.8,16.4,15.9,15.9,15.2,14.7,15.6,11.9,11.3,11.0,11.5,11.2,10.7
6,A,PC,IWW,DE,12.1,11.3,10.9,10.7,10.4,10.8,9.4,10.1,10.2,9.9,9.2,8.5,8.6,7.4,7.9,7.5,7.4,6.8,6.6
23,A,PC,IWW,NL,43.2,42.9,44.8,44.2,41.0,45.8,45.6,46.8,45.5,45.5,44.6,43.7,44.1,42.5,41.9,41.0,41.6,41.1,40.9
97,A,PC,ROAD,BE,73.7,73.3,72.9,72.8,76.7,73.4,73.0,72.2,73.1,73.0,73.6,74.3,73.3,75.8,76.6,77.4,76.7,76.5,77.6
102,A,PC,ROAD,DE,69.9,69.8,69.7,70.0,71.8,70.5,71.3,70.8,70.9,71.3,71.9,70.2,71.7,72.4,72.3,75.0,73.6,73.4,72.8
119,A,PC,ROAD,NL,50.8,50.7,48.2,49.1,53.0,48.4,48.2,47.1,48.7,48.6,49.2,50.2,49.8,51.0,51.7,52.9,52.0,52.2,52.8
